id,model,year,transmission,manufacturer,vehicle_type,fuel,fuel_configuration,best_mpge
10080,mariner,2011,auto,mercury,suv,ethanol (e85),flexible fuel,25.0
878,savana 1500 ffv,2009,auto,gmc,van,ethanol (e85),flexible fuel,17.0
12120,sierra k10 4wd,2019,auto,gmc,pickup,ethanol (e85),flexible fuel,19.0
620,ram wagon,1996,auto,dodge,van,cng - compressed natural gas,dedicated,17.0
12398,"revero gt (21"" wheels)",2020,auto,karma,sedan/wagon,plug-in hybrid electric,hybrid electric,70.0
945,escape hybrid,2010,auto,ford,suv,hybrid electric,hybrid electric,34.0
12261,range rover,2020,auto,land rover,suv,biodiesel (b20),dedicated,28.0
11282,prius plug-in,2014,continuously variable,toyota,sedan/wagon,plug-in hybrid electric,hybrid electric,95.0
11613,i3 rex,2016,auto,bmw,sedan/wagon,plug-in hybrid electric,hybrid electric,117.0
11582,gs 450h,2016,auto,lexus,sedan/wagon,hybrid electric,dedicated,34.0
12687,mirai limited,2021,auto,toyota,sedan/wagon,hydrogen fuel cell,dedicated,67.0
373,explorer ffv,2005,auto,ford,suv,ethanol (e85),flexible fuel,21.0
659,econoline-fleet demo ffv,1993,unknown,ford,van,methanol,flexible fuel,17.0
11453,xj ffv,2015,auto,jaguar,sedan/wagon,ethanol (e85),flexible fuel,23.0
12038,terrain awd,2019,auto,gmc,suv,biodiesel (b20),dedicated,38.0
95,f-150,2001,auto,ford,pickup,cng - compressed natural gas,dual/bi-fueled,18.5
12322,amg e53 4matic+ (convertible),2020,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,26.0
11705,gs 450h,2017,auto,lexus,sedan/wagon,hybrid electric,hybrid electric,34.0
12841,s 580 4matic maybach,2021,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,24.0
12713,crosstrek hybrid awd,2021,auto,subaru,suv,plug-in hybrid electric,dedicated,36.0
11151,town & country,2014,auto,chrysler,van,ethanol (e85),flexible fuel,25.0
12454,model y performance awd,2020,auto,tesla,suv,electric,dedicated,129.0
12508,s6,2021,auto,audi,sedan/wagon,hybrid electric,hybrid electric,28.0
960,hhr 2wd,2010,manual,chevrolet,suv,ethanol (e85),flexible fuel,32.0
13100,gls 600 4matic maybach,2022,auto,mercedes-benz,suv,hybrid electric,hybrid electric,20.0
11792,q60 hybrid awd,2017,auto,infiniti,suv,hybrid electric,hybrid electric,27.0
11218,insight,2014,continuously variable,honda,sedan/wagon,hybrid electric,hybrid electric,44.0
560,express,2003,auto,chevrolet,van,cng - compressed natural gas,dedicated,20.0
623,caravan,1995,auto,dodge,van,cng - compressed natural gas,dedicated,25.0
12269,suburban c1500 2wd,2020,auto,chevrolet,suv,ethanol (e85),flexible fuel,22.0
12106,nexo,2019,auto,hyundai,suv,hydrogen fuel cell,dedicated,59.0
10366,ls 600h l,2012,continuously variable,lexus,sedan/wagon,hybrid electric,hybrid electric,23.0
10144,regal manual,2011,manual,buick,sedan/wagon,ethanol (e85),flexible fuel,32.0
11120,q5 awd,2014,auto,audi,suv,ethanol (e85),flexible fuel,28.0
186,ram cng wagon,2002,auto,dodge,van,cng - compressed natural gas,dedicated,16.0
603,contour (qvm),1997,auto,ford,sedan/wagon,cng - compressed natural gas,dual/bi-fueled,32.0
12075,leaf (40 kwh battery pack),2019,auto,nissan,sedan/wagon,electric,hybrid electric,124.0
12608,e 450 4matic,2021,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,30.0
11968,rx 450h awd,2018,auto,lexus,suv,hybrid electric,hybrid electric,31.0
10599,regal,2013,auto,buick,sedan/wagon,ethanol (e85),flexible fuel,31.0
10077,yukon 1500 hybrid,2011,auto,gmc,suv,hybrid electric,hybrid electric,23.0
617,gmc sierra,1997,auto,gmc,pickup,cng - compressed natural gas,dual/bi-fueled,19.0
12887,rx 450h awd,2022,auto,lexus,suv,hybrid electric,hybrid electric,31.0
565,yukon ffv,2003,auto,gmc,suv,ethanol (e85),flexible fuel,19.0
11486,1500 2wd/4wd,2016,auto,ram,pickup,biodiesel (b20),dedicated,29.0
11693,rlx hybrid,2017,auto,acura,sedan/wagon,hybrid electric,hybrid electric,30.0
686,police tahoe ffv,2007,auto,chevrolet,suv,ethanol (e85),flexible fuel,21.0
10496,fusion,2013,continuously variable,ford,sedan/wagon,hybrid electric,hybrid electric,47.0
12209,bolt ev,2019,unknown,chevrolet,sedan/wagon,electric,dedicated,128.0
11878,f-150 4wd ffv,2018,auto,ford,pickup,ethanol (e85),flexible fuel,22.0
11844,ioniq electric,2018,auto,hyundai,sedan/wagon,electric,dedicated,150.0
12559,q8,2021,auto,audi,suv,hybrid electric,hybrid electric,21.0
12177,model s 100d,2019,auto,tesla,sedan/wagon,electric,dedicated,102.0
11198,"navigator, 2wd/awd",2014,auto,lincoln,suv,ethanol (e85),flexible fuel,20.0
11242,camry,2014,continuously variable,toyota,sedan/wagon,hybrid electric,hybrid electric,43.0
12938,highlander hybrid awd ltd/plat,2022,auto,toyota,suv,hybrid electric,hybrid electric,35.0
11333,volt,2015,auto,chevrolet,sedan/wagon,plug-in hybrid electric,hybrid electric,98.0
971,dakota,2010,auto,dodge,pickup,ethanol (e85),flexible fuel,19.0
12158,camry hybrid xle/se,2019,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,47.0
496,silverado,2006,auto,chevrolet,pickup,hybrid electric,hybrid electric,21.0
11442,taurus fwd/awd,2015,auto,ford,sedan/wagon,ethanol (e85),flexible fuel,29.0
11223,qx60 hybrid,2014,auto,infiniti,suv,hybrid electric,hybrid electric,28.0
26,ev plus,1999,single,honda,sedan/wagon,electric,dedicated,51.0
378,taurus ffv,2005,auto,ford,sedan/wagon,ethanol (e85),flexible fuel,27.0
590,econoline e-350,1999,auto,ford,van,cng - compressed natural gas,dual/bi-fueled,17.0
12848,xc90 t8 awd recharge,2022,auto,volvo,suv,plug-in hybrid electric,hybrid electric,28.0
712,express ffv,2007,auto,chevrolet,van,ethanol (e85),flexible fuel,18.0
12591,e 450 4matic all-terrain (wagon),2021,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,28.0
12132,q8,2019,auto,audi,sedan/wagon,hybrid electric,hybrid electric,22.0
11569,activehybrid 5,2016,auto,bmw,sedan/wagon,hybrid electric,dedicated,30.0
10157,sequoia 4wd ffv,2011,auto,toyota,suv,ethanol (e85),flexible fuel,17.0
11618,c-max energi,2016,continuously variable,ford,sedan/wagon,plug-in hybrid electric,hybrid electric,88.0
11810,prius prime,2017,unknown,toyota,sedan/wagon,plug-in hybrid electric,dedicated,133.0
12352,kona electric,2020,auto,hyundai,suv,electric,dedicated,132.0
11681,yukon k1500 xl 4wd,2017,auto,gmc,suv,ethanol (e85),flexible fuel,22.0
10365,rx 450h,2012,continuously variable,lexus,suv,hybrid electric,hybrid electric,30.0
12396,ux 250h awd,2020,auto,lexus,sedan/wagon,hybrid electric,dedicated,41.0
12696,bolt ev,2021,unknown,chevrolet,sedan/wagon,electric,dedicated,127.0
11738,xe,2017,auto,jaguar,sedan/wagon,biodiesel (b20),dedicated,42.0
12840,s 580 4matic,2021,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,25.0
558,silverado,2003,auto,chevrolet,pickup,cng - compressed natural gas,dual/bi-fueled,12.0
12346,v60 awd,2020,auto,volvo,suv,plug-in hybrid electric,hybrid electric,33.0
12637,a4 quattro,2021,auto,audi,sedan/wagon,hybrid electric,hybrid electric,34.0
12847,xc60 t8 awd recharge,2022,auto,volvo,suv,plug-in hybrid electric,hybrid electric,27.0
559,sierra,2003,auto,gmc,pickup,cng - compressed natural gas,dual/bi-fueled,12.0
13013,model 3 rwd,2022,auto,tesla,sedan/wagon,electric,dedicated,138.0
11914,ioniq blue,2018,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,59.0
11389,prius v,2015,continuously variable,toyota,sedan/wagon,hybrid electric,hybrid electric,44.0
12686,k27,2021,auto,kandi,sedan/wagon,electric,dedicated,127.0
481,sierra ffv,2006,auto,gmc,pickup,ethanol (e85),flexible fuel,20.0
12940,highlander hybrid,2022,auto,toyota,suv,hybrid electric,hybrid electric,36.0
797,yukon xl ffv,2008,auto,gmc,suv,ethanol (e85),flexible fuel,20.0
12716,transit t150 passenger van 4wd ffv,2021,auto,ford,passenger van/shuttle bus,ethanol (e85),flexible fuel,19.0
10388,touareg hybrid,2012,auto,volkswagen,suv,hybrid electric,hybrid electric,24.0
12289,1500 2wd,2020,auto,ram,pickup,hybrid electric,hybrid electric,25.0
859,f-150 ffv,2009,auto,ford,pickup,ethanol (e85),flexible fuel,20.0
10072,savana 1500,2011,auto,gmc,van,ethanol (e85),flexible fuel,17.0
705,ram pickup ffv,2007,auto,dodge,pickup,ethanol (e85),flexible fuel,19.0
12831,a7 tfsi e quattro,2022,auto,audi,sedan/wagon,plug-in hybrid electric,unknown,31.0
871,yukon ffv,2009,auto,gmc,suv,ethanol (e85),flexible fuel,20.0
93,econoline,2001,auto,ford,van,cng - compressed natural gas,dedicated,14.0
10304,ford azure transit connect,2012,unknown,ford,van,electric,dedicated,62.0
982,express g1500,2010,auto,chevrolet,van,ethanol (e85),flexible fuel,18.0
112,ram maxi van,2001,auto,dodge,van,cng - compressed natural gas,dedicated,19.0
11121,a5  quattro,2014,auto,audi,sedan/wagon,ethanol (e85),flexible fuel,29.0
12931,nx 350h awd,2022,auto,lexus,suv,hybrid electric,hybrid electric,41.0
10084,mkz hybrid,2011,auto,lincoln,sedan/wagon,hybrid electric,hybrid electric,41.0
587,super club wagon,1999,auto,ford,van,propane,dual/bi-fueled,17.0
256,yukon ffv,2004,auto,gmc,suv,ethanol (e85),flexible fuel,19.0
10376,cayenne s hybrid,2012,auto,porsche,suv,hybrid electric,hybrid electric,24.0
11604,i-miev,2016,auto,mitsubishi,sedan/wagon,electric,dedicated,126.0
10293,1500,2012,auto,ram,pickup,ethanol (e85),flexible fuel,19.0
12351,bolt ev,2020,unknown,chevrolet,sedan/wagon,electric,dedicated,127.0
890,escalade hybrid,2009,auto,cadillac,suv,hybrid electric,hybrid electric,21.0
10148,escalade ext awd,2011,auto,cadillac,suv,ethanol (e85),flexible fuel,18.0
12890,cayenne turbo s/coupe e-hybrid ,2022,auto,porsche,suv,plug-in hybrid electric,hybrid electric,20.0
12740,taycan perf battery plus,2021,auto,porsche,sedan/wagon,electric,dedicated,80.0
12161,prius c,2019,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,48.0
11657,tahoe c1500 2wd,2017,auto,chevrolet,suv,ethanol (e85),flexible fuel,23.0
10325,equinox fwd/awd,2012,auto,chevrolet,suv,ethanol (e85),flexible fuel,32.0
13087,tundra 4wd,2022,auto,toyota,pickup,hybrid electric,hybrid electric,22.0
12362,ioniq electric,2020,auto,hyundai,sedan/wagon,electric,dedicated,145.0
12869,range rover p400 mhev,2022,auto,land rover,suv,hybrid electric,dedicated,23.0
12729,i3 with range extender,2021,auto,bmw,sedan/wagon,plug-in hybrid electric,hybrid electric,31.0
11615,x5 xdrive40e plug-in hybrid,2016,auto,bmw,suv,plug-in hybrid electric,hybrid electric,56.0
45,chevrolet cavalier,1999,auto,chevrolet,sedan/wagon,cng - compressed natural gas,dual/bi-fueled,26.0
11429,200 fwd/awd,2015,auto,chrysler,sedan/wagon,ethanol (e85),flexible fuel,32.0
12435,mirai,2020,auto,toyota,sedan/wagon,hydrogen fuel cell,dedicated,67.0
684,impala ffv,2007,auto,chevrolet,sedan/wagon,ethanol (e85),flexible fuel,31.0
12799,rs 6 avant,2022,auto,audi,sedan/wagon,hybrid electric,hybrid electric,22.0
699,titan ffv,2007,auto,nissan,pickup,ethanol (e85),flexible fuel,18.0
12337,fusion energi plug in hybrid fwd,2020,auto,ford,sedan/wagon,plug-in hybrid electric,hybrid electric,43.0
11875,transit connect wagon lwb ffv,2018,auto,ford,van,ethanol (e85),flexible fuel,27.0
12772,panamera turbo s e-hybrid executive,2021,auto,porsche,sedan/wagon,plug-in hybrid electric,hybrid electric,22.0
10121,300,2011,auto,chrysler,sedan/wagon,ethanol (e85),flexible fuel,27.0
847,dakota ffv,2009,auto,dodge,pickup,ethanol (e85),flexible fuel,19.0
11141,"express 2500, 2wd",2014,auto,chevrolet,van,ethanol (e85),flexible fuel,16.0
854,durango hybrid,2009,auto,dodge,suv,hybrid electric,hybrid electric,20.0
12667,mustang mach-e awd extended,2021,auto,ford,sedan/wagon,electric,dedicated,96.0
12666,mustang mach-e awd,2021,auto,ford,sedan/wagon,electric,dedicated,100.0
680,mariner,2007,continuously variable,mercury,suv,hybrid electric,hybrid electric,33.0
12817,tucson hybrid blue,2022,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,38.0
802,police impala ffv,2008,auto,chevrolet,sedan/wagon,ethanol (e85),flexible fuel,29.0
12991,venza awd,2022,auto,toyota,suv,hybrid electric,hybrid electric,40.0
12815,sonata hybrid blue,2022,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,54.0
12318,amg gt 53 4matic+,2020,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,24.0
131,altra ev,2001,transaxle,nissan,sedan/wagon,electric,dedicated,29.0
12354,accord,2020,auto,honda,sedan/wagon,hybrid electric,hybrid electric,48.0
10480,grand caravan,2013,auto,dodge,van,ethanol (e85),flexible fuel,25.0
12329,camry hybrid xle/se,2020,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,47.0
462,silverado,2006,auto,chevrolet,pickup,cng - compressed natural gas,dedicated,12.0
12189,ux 250h,2019,auto,lexus,sedan/wagon,hybrid electric,dedicated,43.0
10527,m35h,2013,auto,infiniti,sedan/wagon,hybrid electric,hybrid electric,32.0
10054,ls 600h,2011,auto,lexus,sedan/wagon,hybrid electric,hybrid electric,23.0
12987,amg e53 4matic+ (coupe),2022,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,28.0
12969,taycan turbo s cross turismo,2022,auto,porsche,sedan/wagon,electric,dedicated,74.0
13074,silverado 4wd,2022,auto,chevrolet,pickup,biodiesel (b20),dedicated,26.0
13038,wrangler 4dr 4xe,2022,auto,jeep,suv,plug-in hybrid electric,hybrid electric,20.0
12859,540i sedan,2022,auto,bmw,sedan/wagon,hybrid electric,hybrid electric,32.0
643,intrepid ffv,1995,unknown,dodge,sedan/wagon,methanol,flexible fuel,12.0
11222,sonata,2014,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,40.0
11777,model s awd - 60d,2017,auto,tesla,sedan/wagon,electric,dedicated,107.0
287,sebring sedan ffv,2004,auto,chrysler,sedan/wagon,ethanol (e85),flexible fuel,28.0
10469,allroad quattro,2013,auto,audi,sedan/wagon,ethanol (e85),flexible fuel,27.0
215,savana,2002,manual,gmc,van,cng - compressed natural gas,dual/bi-fueled,18.0
10571,avalanche 1500 2wd/ awd,2013,auto,chevrolet,pickup,ethanol (e85),flexible fuel,21.0
880,malibu hybrid,2009,auto,chevrolet,sedan/wagon,hybrid electric,hybrid electric,29.0
13065,mirai le,2022,auto,toyota,sedan/wagon,hydrogen fuel cell,dedicated,76.0
12604,explorer hev awd,2021,auto,ford,suv,hybrid electric,hybrid electric,26.0
11145,"captiva, fwd/awd",2014,auto,chevrolet,suv,ethanol (e85),flexible fuel,24.0
395,suburban ffv,2005,auto,chevrolet,suv,ethanol (e85),flexible fuel,18.0
12812,santa fe hybrid,2022,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,33.0
271,f-150,2004,auto,ford,pickup,cng - compressed natural gas,dual/bi-fueled,16.0
12809,elantra hybrid blue,2022,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,56.0
259,savana,2003,auto,gmc,van,cng - compressed natural gas,dual/bi-fueled,20.0
12556,cooper se hardtop 2 door,2021,auto,mini,sedan/wagon,electric,unknown,115.0
12281,insight,2020,auto,honda,sedan/wagon,hybrid electric,hybrid electric,55.0
11279,accord plug-in hybrid,2014,continuously variable,honda,sedan/wagon,plug-in hybrid electric,hybrid electric,115.0
10056,armada 4wd ffv,2011,auto,nissan,suv,ethanol (e85),flexible fuel,18.0
12335,pacifica hybrid,2020,auto,chrysler,van,plug-in hybrid electric,hybrid electric,82.0
12409,i8 roadster,2020,auto,bmw,sedan/wagon,plug-in hybrid electric,hybrid electric,29.0
711,town and country ffv,2007,auto,chrysler,van,ethanol (e85),flexible fuel,26.0
10324,avalanche 1500 2wd/4wd,2012,auto,chevrolet,suv,ethanol (e85),flexible fuel,21.0
11899,frontier 2wd ffv,2018,auto,nissan,pickup,ethanol (e85),flexible fuel,22.0
12511,a8l,2021,auto,audi,sedan/wagon,hybrid electric,hybrid electric,26.0
12717,nsx,2021,auto,acura,sedan/wagon,hybrid electric,hybrid electric,22.0
895,tundra ffv,2009,unknown,toyota,pickup,ethanol (e85),flexible fuel,17.0
10141,dakota 4wd,2011,auto,dodge,pickup,ethanol (e85),flexible fuel,19.0
10486,1500 2wd / 4wd,2013,auto,ram,pickup,ethanol (e85),flexible fuel,25.0
12202,canyon 2wd,2019,auto,gmc,pickup,biodiesel (b20),dedicated,30.0
10093,civic gx,2011,manual,honda,sedan/wagon,cng - compressed natural gas,dedicated,36.0
482,sierra,2006,auto,gmc,pickup,cng - compressed natural gas,dedicated,12.0
11842,focus electric fwd,2018,auto,ford,sedan/wagon,electric,dedicated,118.0
11775,model x awd - p100d,2017,auto,tesla,suv,electric,dedicated,92.0
11192,xf ffv,2014,auto,jaguar,sedan/wagon,ethanol (e85),flexible fuel,23.0
12059,equinox fwd,2019,auto,chevrolet,suv,biodiesel (b20),dedicated,39.0
10314,navigator 2wd/4wd,2012,auto,lincoln,suv,ethanol (e85),flexible fuel,20.0
11180,"yukon xl, 2wd/4wd",2014,auto,gmc,suv,ethanol (e85),flexible fuel,21.0
675,fcx,2007,direct drive,honda,sedan/wagon,hydrogen fuel cell,fuel cell,62.0
